Date,Campaign Name,Ad Set,Ad,Spend,CPM,Impressions,Clicks,Add to Cart,Add Payment Info,Purchase
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$99.00,$6.12,"16,185",421,21,7,4
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$86.00,$5.30,"16,213",402,16,6,5
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$86.00,$6.87,"12,518",507,26,7,5
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$87.00,$5.29,"16,439",708,35,12,9
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$65.00,$5.70,"11,408",402,18,7,5
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$97.00,$6.64,"14,599","1,034",39,10,9
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$100.00,$6.60,"15,142",130,6,2,2
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$97.00,$6.62,"14,646",395,21,7,5
"April 1, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$68.00,$5.58,"12,185",190,6,3,2
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$85.00,$6.68,"12,719",585,23,8,7
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$95.00,$5.82,"16,325",705,28,7,5
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$79.00,$6.46,"12,221",418,25,9,6
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$99.00,$6.93,"14,287",885,28,10,7
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$82.00,$6.24,"13,146",738,35,12,10
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$93.00,$5.29,"17,578",823,44,17,11
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Animated,$82.00,$6.63,"12,359",101,5,2,2
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shorts - Animated,$74.00,$5.08,"14,577",262,9,3,2
"April 2, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Shoes - Image,$77.00,$6.03,"12,767",235,8,2,2
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - A,$88.00,$5.42,"16,227",600,33,13,10
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - B,$99.00,$5.53,"17,887",458,15,5,3
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Britney - UGC - C,$74.00,$6.67,"11,097",370,18,5,5
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - A,$67.00,$5.12,"13,089",646,35,13,9
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - B,$71.00,$5.58,"12,713",797,41,12,11
"April 3, 2024",2024-04 - Spring Sale,2024-04 - Canada,2024-04 - Mark - UGC - C,$98.00,$6.09,"16,091","1,023",40,13,11
